no;Lat;Lon;Fare;Time;CabID
564;37.73048;-122.40517;1;1211066820;30788
565;37.73056;-122.40506;1;1211066880;30788
566;37.72875;-122.4041;1;1211066940;30788
567;37.725;-122.40256;1;1211067005;30788
568;37.72117;-122.40096;1;1211067060;30788
569;37.71455;-122.40149;1;1211067121;30788
570;37.71134;-122.40371;1;1211067181;30788
571;37.70903;-122.40521;1;1211067241;30788
572;37.70538;-122.4093;1;1211067303;30788
573;37.70715;-122.41559;1;1211067363;30788
574;37.70956;-122.42382;1;1211067428;30788
575;37.71315;-122.43361;1;1211067494;30788
576;37.71564;-122.43932;1;1211067544;30788
577;37.71772;-122.44217;1;1211067604;30788
578;37.71867;-122.44446;1;1211067674;30788
579;37.72016;-122.44519;1;1211067730;30788
580;37.72166;-122.44585;1;1211067785;30788
581;37.72263;-122.44504;0;1211067786;30788
582;37.72848;-122.44047;0;1211067878;30788
583;37.73092;-122.43549;0;1211067939;30788
584;37.73862;-122.42443;0;1211068004;30788
585;37.7406;-122.4239;0;1211068020;30788
586;37.74582;-122.42195;0;1211068082;30788
587;37.74407;-122.42194;0;1211068140;30788
588;37.74699;-122.41897;0;1211068202;30788
589;37.74779;-122.41846;0;1211068262;30788
590;37.7482;-122.41511;0;1211068328;30788
591;37.74822;-122.41424;0;1211068359;30788
592;37.74851;-122.40747;0;1211068418;30788
593;37.74967;-122.39758;0;1211068479;30788
594;37.75006;-122.39342;0;1211068541;30788
595;37.7511;-122.39343;0;1211068610;30788
596;37.75203;-122.39444;0;1211068661;30788
597;37.75199;-122.39444;0;1211068736;30788
598;37.75198;-122.39443;0;1211068789;30788
599;37.75198;-122.39443;0;1211068840;30788
600;37.75199;-122.39476;0;1211068900;30788
601;37.75193;-122.395;0;1211068963;30788
602;37.75194;-122.39502;0;1211069027;30788
603;37.75194;-122.39503;0;1211069081;30788
604;37.75171;-122.39527;0;1211069143;30788
